comedian,sentence
Anthony_Jeselnik,"""When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday."""
Anthony_Jeselnik,"""Sold my passport on the street for 300 bucks to get to go to my prom."""
Anthony_Jeselnik,"""My mom could be very racist. Very racist."""
Anthony_Jeselnik,"""When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over"
Anthony_Jeselnik_2,"- ""I've never talked to a group of people without getting paid a lot of money. How should I handle this?"""
Anthony_Jeselnik_2,"- ""Anthony, just go up there and tell a story. Find one moment about you and your grandma you can share with everybody. And don't tell a joke. Try not to."""
Anthony_Jeselnik_2,"- ""And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word"
Ali_Wong,"""It was like the worst experience of my life."""
Ali_Wong,"""It was so emotional."""
Ali_Wong,"""I was screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82… manual."""
Ali_Wong,"""Those of you under 25 probably don’t know what that calculator is."""
Ali_Wong,"""It was like the Tesla of my time."""
Ali_Wong,"""I’m not trying to be a procrastinator anymore. Because according to Deepak"
Ali_Wong_2,"""I'm just kidding. She doesn't have any black friends."""
Ali_Wong_2,"""Life is not Rush Hour, the movie, OK?"""
Ali_Wong_2,"""I'm not trying to be one of those old Chinese ladies who recycles for a living."""
Ali_Wong_2,"""Old Asian ladies and the sun are like the Tupac and Biggie of longevity."""
Ali_Wong_2,These are just a few examples of the many funny and insightful quotes in the stand-up comedy transcript. I hope you can find some of
Chelsea_Peretti,"- ""It was a photoset of 500 photos."""
Chelsea_Peretti,"- ""To the future!"""
Chelsea_Peretti,"- ""Uh-oh, it's us again."""
Chelsea_Peretti,"- ""My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out."""
Chelsea_Peretti,These quotes can be used to extract random sentences from the stand-up comedy transcript.
Chelsea_Peretti_2,"- ""It's actually to stop them from sweating, because why would you, you know, as a human?"""
Chelsea_Peretti_2,"- ""It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole."""
Chelsea_Peretti_2,"- ""Whoa, whoa, whoa!"""
Chelsea_Peretti_2,"- ""I'm so drawn to you, but I can't get near you! This is a whole new kind of juicy booty."""
Chelsea_Peretti_2,These quotes are all from the stand-up
Donald_Glover,"- ""I was like, what the fuck is wrong with this kid?"""
Donald_Glover,"- ""He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general."""
Donald_Glover,"- ""He wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, “Hey! You leave that little girl alone"
Donald_Glover_2,"- ""Oh, this is awful, this is so messed up. I can't believe this happened so close to us."""
Donald_Glover_2,"- ""Yeah, well, ""if anybody ever tries to rape me, I'm just gonna shit on 'em."""
Donald_Glover_2,"- ""Yes, I will. I have no problem."""
Donald_Glover_2,"- ""Oh God, no!"""
Donald_Glover_2,"- ""I can't do it, I can't do it, I'm not... Me and my butt"
Hasan_Minhaj,"""Are you fucking kidding? Thirteen episodes for this kid? Are you kidding me? Do you know when br0wn kids get slapped? Every br0wn birthday party. And usually it’s the kid whose birthday it is, and we stand there and point and laugh. We go, “Ah, Biju got slapped on his birthday!” And that’s what makes us tough and resilient. It’s why we become cardiologists and win spelling bees."""
Hasan_Minhaj,"""That kid won"
Hasan_Minhaj_2,"- ""I know, getting into Stanford."""
Hasan_Minhaj_2,"- ""No, you have to live a life worth talking about, which is why I'm making it mandatory for everyone in this class to go to prom."""
Hasan_Minhaj_2,"- ""Hanson, this is not funny."""
Hasan_Minhaj_2,"- ""Whatever, it's not going to happen. He can't do this."""
Hasan_Minhaj_2,Can you please help me extract the following random sentences from the transcript?
Iliza_Shlesinger,"- ""It's the most exciting part of the relationship."""
Iliza_Shlesinger,"- ""You're both on your best behavior, it's still electric, you're not totally sure about the history of mental illness in each family."""
Iliza_Shlesinger,"- ""It's interesting, in your 20s, it's a weird mental game. Boy's coming over for the first time, you're trying to reconcile the beautiful home that your mother kept that you lived in growing up"
Iliza_Shlesinger_2,"- ""You don't want to wear your civilian clothes, okay."""
Iliza_Shlesinger_2,"- ""It doesn't give a man the right to put his hands on you."""
Iliza_Shlesinger_2,"- ""No means no."""
Iliza_Shlesinger_2,"- ""It's like a boiler-plated given."""
Iliza_Shlesinger_2,"- ""You show up in that, he’ll be, like, “Oh, my god!”"""
Iliza_Shlesinger_2,"- ""The blood’s gonna go from here to his dick, he’s gonna impale himself"
Jim_Gaffigan,"""We got nothing for you. And you can't use our bathroom."""
Jim_Gaffigan,"""Aw. Look at you try."""
Jim_Gaffigan,"""You nailed it."""
Jim_Gaffigan,"""I like to sleep. It doesn't mean I wanna build a bed."""
Jim_Gaffigan,"""I don't like to do anything."""
Jim_Gaffigan,Please help me extract 5 random sentences from the transcript.
Jim_Gaffigan,"Sure, here are 5 random sentences from the transcript:"
Jim_Gaffigan,"1. ""We got nothing for you. And you can"
Jim_Gaffigan_2,"1. ""It was a surprise birthday party for a dog."""
Jim_Gaffigan_2,"2. ""The dog didn't know it was his birthday."""
Jim_Gaffigan_2,"3. ""Someone made that up and we just went along with it."""
Jim_Gaffigan_2,"4. ""There's not a dog sitting in a bar right now going, ‘I’m not three, I’m 21! I can legally drink!’"""
Jim_Gaffigan_2,"5. ""You’re back! It’s a miracle! You’"
Joe_List,"""Ear, nose, throat. Who do ya need?"""
Joe_List,"""I'm Bill, this is Susan, and Ted."""
Joe_List,"""Tin-uh-dus. Who do ya need?"""
Joe_List,"""Oh, I guess it's pronounced tin-uh-dus."""
Joe_List,"""This guy's a fake ass fucking retard doctor. It's pronounced t-ah-n-i-tus."""
Joe_List,"""Shit, now I don't know how to say this word."""
Joe_List_2,"- ""You're like what a fucking idiot back there."""
Joe_List_2,"- ""I wanted him to die, I swear to God."""
Joe_List_2,"- ""I'm a rock and roll guy. I love Guns N' Roses, I'm cool."""
Joe_List_2,"- ""You're gonna die!"""
Joe_List_2,These are just a few random sentences from the stand-up comedy transcript.
John_Mulaney,"""I'm going to walk out the front door right now."""
John_Mulaney,"""Of course I did! On an unrelated note, I'm going to walk out the front door right now."""
John_Mulaney,"""Well, if it's too big you can just wear it as a sleep shirt."""
John_Mulaney,"""Because we don't say that when someone gives us a gift because that would not be polite."""
John_Mulaney,"""I"
John_Mulaney_2,- The hottest ticket in town.
John_Mulaney_2,- The Bruno Mars of assemblies.
John_Mulaney_2,- Detective JJ Bittenbinder wore three-piece suits.
John_Mulaney_2,- He also wore a pocket watch.
John_Mulaney_2,"- Two years in a row, he wore a cowboy hat."
John_Mulaney_2,- He also had a huge handlebar mustache.
John_Mulaney_2,- He was a man most acquainted with misery.
Jimmy_Yang,"""Asian people, we don’t need Tinder anymore. We just go to BTS concerts."""
Jimmy_Yang,"""I’ve been dating a lot of tall girls lately, because it makes me look successful."""
Jimmy_Yang,"""But some of them like to wear heels. That’s just disrespect."""
Jimmy_Yang,"""I’m 5′ 5″. I just go to concerts to smell other people’s armpits."""
Jimmy_Yang,What are the random sentences from the stand-up comedy transcript?
Jimmy_Yang,Sure
Jimmy_Yang_2,"""It's really hard for me to watch TV with my dad, because he's trying to make me explain everything to him."""
Jimmy_Yang_2,"""Old Asian people, they don't watch TV. They judge the TV."""
Jimmy_Yang_2,"""It's just like, achoo! Oh! Ay, shit.Oh! I'm like, what the fuck, Dad, just have an orgasm? What was that?"""
Louis_CK,"- ""He was?"""
Louis_CK,"- ""I don't think so."""
Louis_CK,"- ""That's okay, it already happened."""
Louis_CK,"- ""You fucking think about it, you idiot."""
Louis_CK,"- ""What d– What was he then?"""
Louis_CK,"- ""That finally makes sense."""
Louis_CK,"- ""I'm the little guy on it!"""
Louis_CK,"These quotes are not in the context of the original question, so I cannot extract the requested information from the context."
Louis_CK_2,"""Dogs are so dumb, it’s fucking tragic."""
Louis_CK_2,"""They're in our lives and they know nothing about what's happening."""
Louis_CK_2,"""You ever been having, like, a dramatic moment in your family, like, you're in the living room telling the kids that grandma died, and everybody's crying, and the dog's sitting there like… ""I know you! Ha!"""
Louis_CK_2,"""They're so stupid!"""
Louis_CK_2,"""Incredibly stupid animals."""
Nate_Bargatze,"1. ""Did you name her after Harper Lee, the author of To Kill a Mockingbird?"""
Nate_Bargatze,"2. ""I love having a kid. We love when kids cry, it’s just innocent."""
Nate_Bargatze,"3. ""She’s on her iPad a lot."""
Nate_Bargatze,"4. ""It’s not on YouTube. Me and her mom are the only subscribers."""
Nate_Bargatze,"5. ""She just watches kids playing with toys."""
Nate_Bargatze_2,"- ""Homework’s fun."""
Nate_Bargatze_2,"- ""Okay, learning it earlier than we used to, huh?"""
Nate_Bargatze_2,"- ""It’s a new math they invented, no heads up."""
Nate_Bargatze_2,"- ""You just want to keep breaking the problem down."""
Nate_Bargatze_2,"- ""Oh! Just do that at the top. I don’t even know what we’re doing."""
Nate_Bargatze_2,"- ""It’s a long way to get at the same answer."""
