comedian,sentence
Anthony_Jeselnik,I sold my passport on the street for 300 bucks to get to go to my prom.
Anthony_Jeselnik,My mom would act weird when I brought a black friend over.
Anthony_Jeselnik,"I never get to see my family anymore, really."
Anthony_Jeselnik_2,I’ve never talked to a group of people without getting paid a lot of money. How should I handle this?
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.”"
Anthony_Jeselnik_2,I think I’m one of the best comedians of all time.
Ali_Wong,It was like the worst experience of my life.
Ali_Wong,I don't even know where the calculator is.
Ali_Wong,It was this calculator that bamboozled my generation.
Ali_Wong,I'm like the Tesla of my time.
Ali_Wong,"I'm not trying to be a procrastinator anymore. Because according to Deepak-Oprah, that's not the way for me to achieve my optimum level of success."
Ali_Wong_2,I’m just kidding. She doesn’t have any black friends.
Ali_Wong_2,"Old Chinese ladies, they don’t give a fuck. They got no shame."
Ali_Wong_2,"I’m just gonna recycle… go bald… go to the park, do this shit."
Chelsea_Peretti,To the future!
Chelsea_Peretti,"Uh-oh, it\'s us again."
Chelsea_Peretti,"My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out."""
Chelsea_Peretti_2,People say I look just like you.
Chelsea_Peretti_2,"It\'s not to make them look youthful, you know."
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole."
Chelsea_Peretti_2,"Whoa, whoa, whoa!"
Chelsea_Peretti_2,"I\'m so drawn to you, but I can\'t get near you! This is a whole new kind of juicy booty."""
Donald_Glover,"I was like, what the fuck is wrong with this kid? What’s going on with this kid?"
Donald_Glover,The sweetest thing he was allowed was mints.
Donald_Glover,"He was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general, so he would just come through and just…He wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, ""Hey! You leave that little girl alone."""
Donald_Glover_2,"Oh, this is awful, this is so messed up. I can’t believe this happened so close to us."""
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em."
Donald_Glover_2,"You can shit on command? Like, you can just poop whenever you want to? Just be like… Hyah! He’s like, “Oh God, no!” Like… You can poop whenever you want?  Like, you got… You’re a national treasure. Like, you can…"
Hasan_Minhaj,"Ah, Biju got slapped on his birthday!"
Hasan_Minhaj,"That kid won $30,000 cash. Nothing."
Hasan_Minhaj,I’m fucked. I’m fucked. The bar is way too high. I should kill myself.
Hasan_Minhaj,That kid won the Scripps National Spelling Bee.
Hasan_Minhaj_2,"I know, getting into Stanford."
Hasan_Minhaj_2,"You have to live a life worth talking about, which is why I’m making it mandatory for everyone in this class to go to prom."
Hasan_Minhaj_2,"Whatever, it’s not going to happen. He can’t do this."
Iliza_Shlesinger,It’s the most exciting part of the relationship.
Iliza_Shlesinger,"You’re both on your best behavior, it’s still electric, you’re not totally sure about the history of mental illness in each family."
Iliza_Shlesinger,"Welcome to Fuckdome, Scott."
Iliza_Shlesinger,"It’s a weird mental game. Boy’s coming over for the first time, you’re trying to reconcile the beautiful home that your mother kept that you lived in growing up, with the beautiful home that, like, Pinterest says you’re supposed to have. "
Iliza_Shlesinger_2,"You don’t want to wear your civilian clothes, okay."
Iliza_Shlesinger_2,No means no.
Iliza_Shlesinger_2,"It\'s frustrating. You know, girls, it\'d be like if you have the worst day, you came home to your boyfriend, like… ""I had the worst day. I got fired, and… I cried in front of everyone and… I ate that French fry from my car. It was just such a hard day."""
Jim_Gaffigan,We got nothing for you. And you can\'t use our bathroom.
Jim_Gaffigan,Aw. Look at you try.
Jim_Gaffigan,You nailed it.
Jim_Gaffigan_2,Dog didn’t know it was his birthday.
Jim_Gaffigan_2,Someone made that up and we just went along with it.
Jim_Gaffigan_2,"When I see a dog, I’ll do math."
Jim_Gaffigan_2,"If you have a dog, you know they don’t keep track of time."""
Jim_Gaffigan_2,"You’ve left your home, forgotten something, walked back in only to be greeted by your dog like you’ve just returned from war."
Joe_List,"I'm Bill, this is Susan, and Ted."
Joe_List,"Ear, nose, throat. ""Who do ya need?"""
Joe_List,"I have tinnitus, or tin-uh-dus."
Joe_List,"Oh, I guess it\'s pronounced tin-uh-dus."
Joe_List,"Shit, now I don\'t know how to say this word."""
Joe_List,My ears are ringing.
Joe_List,"Okay, I\'m gonna test your hearing."
Joe_List_2,You’re like what a fucking idiot back there.
Joe_List_2,"I wanted him to die, I swear to God."
Joe_List_2,"I’m hungry, I’m hungry, I’m hungry."
Joe_List_2,You’re gonna die!
John_Mulaney,"It’s good to give to charities, you know."
John_Mulaney,"Of course I did! On an unrelated note, I’m going to walk out the front door right now."
John_Mulaney,This one’s shirts. I got a bunch of shirts! Take ’em away!
John_Mulaney,"Well, if it’s too big you can just wear it as a sleep shirt."
John_Mulaney,"Oh, I get it. So rather than violate these meaningless politeness rules, I’ll just go to bed in a smock like goddamn Ebenezer Scrooge."
John_Mulaney_2,"The greatest assembly of them all, once a year, Stranger Danger."
John_Mulaney_2,"Detective JJ Bittenbinder wore three-piece suits. He also wore a pocket watch. Two years in a row, he wore a cowboy hat. He also had a huge handlebar mustache."
